BASICS,
Yes,Oui
No,Non
Hello,Salut
Goodbye,Au revoir
Please,S'il vous plaît
Thank you,Merci
Thank you very much!,Merci beaucoup !
You're welcome,De rien
I am sorry,Je suis désolé
Pardon?,Pardon ?
Good morning,Bonjour
Good evening,Bonsoir
Good night,Bonne nuit
What's your name?,Comment vous appelez-vous ?
My name is…,Je m'appelle…
How are you?,Comment allez-vous ?
"I'm fine, thanks!","Je vais bien, merci !"
NUMBERS,
One,Un
Two,deux
Three,trois
Four,quatre
Five,cinq
Six,six
Seven,sept
Eight,huit
Nine,neuf
Ten,dix
TRAVELLING,
Turn left,Tournez à gauche
Turn right,Tournez à doite
Where is the exit?,Où est la sortie ?
Where?,Où ?
Is it far?,Est-ce loin ?
Go straight ahead!,Allez tout droit !
Do you have a city map?,Avez-vous une carte de la ville ?
Please stop here,Merci de vous arrêter ici
Where can I find the taxis?,Où puis-je trouver les taxis ?
How can I get a taxi?,Comment puis-je obtenir un taxi ?
Where is the toilet?,Où sont les toilettes ?
Where is the women's toilet?,Où sont les toilettes des femmes?
Where is the men's toilet?,Où sont les toilettes des hommes?
GOING OUT FOR DINNER,
Do you have vegetarian dishes?,Avez-vous des plats végétariens ?
Main dish,Plat principal
Entrée,Entrée
I am allergic,Je suis allergique
Dessert,Dessert
The bill please!,"L'addition, s'il vous plaît !"
A cup of coffee please,Un café s'il vous plaît
Do you have gluten-free dishes?,Avez-vous des plats sans gluten ?
Where is a good restaurant?,Où puis-je trouver un bon restaurant ?
A glass of water please,Un verre d'eau s'il vous plaît
A table for two please!,Une table pour deux s'il vous plait !
"Can I get a menu, please?","Puis-je avoir un menu, s'il vous plaît ?"
GETTING HELP,
Call the police!,Appelez la police !
"Can you speak more slowly, please?",Pourriez-vous parler un peu moins vite ?
"Can you repeat, please?",Pourriez-vous répéter ?
"How do you say ""X"" in French?","Comment dit-on ""X"" en français ?"
Stop!,Arrêtez !
Do you speak English?,Parlez-vous anglais ?
Excuse me!,Excusez-moi !
I need a doctor!,J'ai besoin d'un docteur !
Can you write that down?,Est-ce que vous pourriez l'écrire ?
Call an ambulance!,Appelez une ambulance !
I am in danger!,Je suis en danger !
I don't understand!,Je ne comprends pas !
I don't know!,Je ne sais pas!
Can you help me?,Pouvez-vous m'aider ?
Fire!,Au feu !
OCCASIONS,
Have a good trip!,Bon voyage
Have fun!,Amusez-vous bien ! 
Congratulations!,Félicitations !
Welcome!,Bienvenue !
Happy birthday!,Joyeux anniversaire !
